Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.18015,0.033489,-0.15391,0,0,0,0.22976,9.3278E-05,1.0323E-06,-7.5921E-06,0.00014139,1.3436E-05,0.00010148,0,0,0,0,0,0,package://open_duck/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://open_duck/meshes/base_link.STL,,电池盒-1;背部链接-1;背部外壳左-1;背部外壳-1;ST3215-HS_within_disk-6;ST3215-HS_within_disk-7,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
yaw2roll,0.00091469,-0.0010233,-0.026724,0,0,0,0.056714,1.5934E-05,-3.9602E-07,1.4998E-07,1.7142E-05,4.4779E-08,1.0886E-05,0,0,0,0,0,0,package://open_duck/meshes/yaw2roll.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://open_duck/meshes/yaw2roll.STL,,胯部链接-1;ST3215-HS_within_disk-3,坐标系2,基准轴1,left_hip_yaw,revolute,-0.16159,0.11336,0.045113,-1.2954,0.12282,-0.4891,base_link,0,0,0,0,0,-0.4363,0.5236,,,,,,,,
hip_l,-0.0029859,0.017816,-0.0048704,0,0,0,0.010639,3.6547E-06,2.5081E-07,-1.8375E-07,2.1813E-06,1.1069E-06,2.1957E-06,0,0,0,0,0,0,package://open_duck/meshes/hip_l.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://open_duck/meshes/hip_l.STL,,臀部链接-2,坐标系3,基准轴2,left_hip_roll,revolute,0.019835,0.005922,-0.01708,-0.79989,-1.5708,-2.0032,yaw2roll,0,0,-1,0,0,-0.384,0.384,,,,,,,,
upper_leg_left,-0.023024,-0.025162,0.018536,0,0,0,0.083426,1.7785E-05,-1.0982E-07,2.3293E-21,1.7915E-05,-3.3881E-21,1.8334E-05,0,0,0,0,0,0,package://open_duck/meshes/upper_leg_left.STL,1,1,1,1,0,0,0,0,0,0,package://open_duck/meshes/upper_leg_left.STL,,ST3215-HS_within_disk-4;腿部链接-2;ST3215-HS_within_disk-2,坐标系4,基准轴3,left_hip_pitch,revolute,-0.0055981,0.033536,-0.025,-1.5708,-0.81097,0.1654,hip_l,0,0,-1,0,0,-1.5708,1.5708,,,,,,,,
leg,-0.023773,0.032093,-0.013313,0,0,0,0.045494,1.0572E-05,2.6958E-06,3.9069E-09,8.4609E-06,-5.7257E-09,1.0335E-05,0,0,0,0,0,0,package://open_duck/meshes/leg.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://open_duck/meshes/leg.STL,,小腿链接-2;ST3215-HS_within_disk-12,坐标系5,基准轴5,left_knee,revolute,-0.030542,-0.052752,0,-3.1416,0,-0.21531,upper_leg_left,0,0,-1,0,0,-1.5708,1.5708,,,,,,,,
ankle_left,0.0061372,-0.011792,-0.0195,0,0,0,0.023715,7.1898E-06,-1.7453E-06,-3.4411E-21,7.0883E-06,4.2352E-21,5.0577E-06,0,0,0,0,0,0,package://open_duck/meshes/ankle_left.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://open_duck/meshes/ankle_left.STL,,脚-1,坐标系6,基准轴6,left_ankle,revolute,-0.030042,0.044027,0.0048,0,0,2.9263,leg,0,0,1,0,0,-1.5708,1.5708,,,,,,,,
bearing_roll,0.00085255,0.0010756,0.026724,0,0,0,0.056714,1.5891E-05,3.219E-07,-1.5237E-07,1.7184E-05,3.5828E-08,1.0886E-05,0,0,0,0,0,0,package://open_duck/meshes/bearing_roll.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://open_duck/meshes/bearing_roll.STL,,胯部链接-2;ST3215-HS_within_disk-8,坐标系7,基准轴7,right_hip_yaw,revolute,-0.16049,0.1271,0.00070269,1.8441,0,-0.52371,base_link,0,0,-1,0,0,-0.5236,0.4363,,,,,,,,
hip_l_2,0.0018905,-0.017966,-0.0038705,0,0,0,0.010639,3.6793E-06,1.6133E-07,1.1742E-07,2.1567E-06,-1.1159E-06,2.1957E-06,0,0,0,0,0,0,package://open_duck/meshes/hip_l_2.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://open_duck/meshes/hip_l_2.STL,,臀部链接-3,坐标系8,基准轴8,right_hip_roll,revolute,0.019176,-0.004514,0.017052,-1.5708,1.2904,-1.8017,bearing_roll,0,0,-1,0,0,-0.384,0.384,,,,,,,,
upper_leg_right,0.030473,-0.009603,0.018536,0,0,0,0.083426,1.7723E-05,6.5877E-09,-8.4703E-22,1.7977E-05,-2.1176E-22,1.8334E-05,0,0,0,0,0,0,package://open_duck/meshes/upper_leg_right.STL,1,1,1,1,0,0,0,0,0,0,package://open_duck/meshes/upper_leg_right.STL,,ST3215-HS_within_disk-10;腿部链接-3;ST3215-HS_within_disk-9,坐标系9,基准轴9,right_hip_pitch,revolute,0.0035607,-0.033813,-0.024,-1.5708,0.43698,-3.0359,hip_l_2,0,0,-1,0,0,-1.5708,1.5708,,,,,,,,
leg_2,-0.034959,-0.019313,-0.013313,0,0,0,0.045494,7.7902E-06,-2.324E-06,6.1928E-09,1.1243E-05,3.1142E-09,1.0335E-05,0,0,0,0,0,0,package://open_duck/meshes/leg_2.STL,1,1,1,1,0,0,0,0,0,0,package://open_duck/meshes/leg_2.STL,,ST3215-HS_within_disk-11;小腿链接-1,坐标系10,基准轴10,right_knee,revolute,0.051881,-0.031999,0,3.1416,0,3.1416,upper_leg_right,0,0,0,0,0,0,0,,,,,,,,
ankle_right,-0.0092602,-0.0095372,-0.0195,0,0,0,0.023715,8.1401E-06,1.4305E-06,2.647E-22,6.1379E-06,0,5.0577E-06,0,0,0,0,0,0,package://open_duck/meshes/ankle_right.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://open_duck/meshes/ankle_right.STL,,脚-2,坐标系11,基准轴11,right_ankle,revolute,-0.047618,-0.023946,0.00445,0,0,0,leg_2,0,0,0,0,0,0,0,,,,,,,,
